ngrdcol,iterations,nz,tasks,total_runs,total,compute_i,baseline,advance_clubb_core_api,output_multi_col,mainloop
2,870,134,2,5,78.28678250312805,0.017799217088925883,0.8601881663004557,90.568,0.0005,18.3759
4,870,134,2,5,84.37389302253723,0.019194502629539516,0.8778065840403239,96.888,0.0005,19.6418
8,870,134,2,4,70.64959335327148,0.019823825838922084,1.6626794338226318,80.3518,0.0004,20.361
16,870,134,2,4,74.41830492019653,0.021140230455617796,0.8503029346466064,84.1088,0.0006,21.2289
32,870,134,2,3,56.66393756866455,0.021379952473354218,0.8622616132100424,63.7166,0.0003,21.5064
64,870,134,2,3,56.89876437187195,0.021054474908577835,1.9465848604838054,62.1313,0.0003,20.9719
128,870,134,2,2,38.686949014663696,0.021708941596677935,0.9133906364440918,43.1302,0.0002,21.8679
256,870,134,2,2,40.36641073226929,0.02267164170056924,0.9177541732788086,44.7936,0.0002,22.673
512,870,134,2,1,21.953797817230225,0.02419979398734725,0.8999770482381185,23.7183,0.0001,24.016
1024,870,134,2,1,22.726155042648315,0.025057970152960886,0.925721009572347,24.4597,0.0001,24.7861
2048,870,134,2,1,24.619582414627075,0.027150009509704122,0.9990741411844889,26.263,0.0001,26.6084
4096,870,134,2,1,28.52961039543152,0.030264567232680048,2.199436902999878,30.1207,0.0002,30.4788
8192,870,134,2,1,37.39061117172241,0.04024076425252746,2.381146272023519,38.7117,0.0001,39.1579
16384,870,134,2,1,56.863699436187744,0.06313520099011417,1.9360745747884114,57.3845,0.0002,58.1103
32768,870,134,2,1,97.53452730178833,0.10783512619720108,3.7179675102233887,96.5755,0.0001,97.8417
65536,870,134,2,1,181.52572107315063,0.2027319458709366,5.148928165435791,177.0224,0.0001,179.7341
